Label,F1,F2,F3,F4,F5,F6,F7,F8,FZ,FY,FXL,NIR,Clear
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,2,4,3,0,4,95,1,2,3,3,5,100,0
LDPE,3,5,4,0,5,100,1,2,3,3,5,97,0
LDPE,3,5,4,0,5,99,1,2,3,3,5,100,0
LDPE,2,4,4,0,5,100,1,2,3,3,5,99,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,4,100,1,2,3,3,4,100,0
LDPE,2,4,4,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,4,0,4,100,1,2,3,3,4,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,4,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,99,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,2,4,4,0,4,94,1,2,3,3,5,100,0
LDPE,2,4,4,0,5,100,1,2,3,3,5,98,0
LDPE,2,4,4,0,4,95,1,1,2,3,4,100,0
LDPE,3,4,3,0,5,99,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,3,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,5,4,0,5,100,1,2,3,3,5,100,0
LDPE,2,4,4,0,5,99,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,3,4,4,0,5,100,1,2,3,3,5,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,97,1,2,3,2,4,100,0
LDPE,3,4,3,0,5,100,1,2,3,2,5,99,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,99,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,99,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,2,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
LDPE,3,4,3,0,4,100,1,2,3,2,4,100,0
